,symbol,date,enterpriseValue
10312,KMB,2019-12-31,54264571024.200005
10313,KMD.AX,2019-07-31,19270000.0
10314,KMDA,2019-12-31,246813095.7
10315,KME.AX,2019-06-30,37984619.0
10316,KMEZ.ME,2019-12-31,-986540000.0
10317,KMG,2018-07-31,1337717444.124
10318,KMI,2019-12-31,82057050000.0
10319,KMK.L,2019-10-31,-11281000.0
10320,KMPA,2019-12-31,2300481062.0
10321,KMPH,2019-12-31,365875312.5008
10322,KMPR,2019-12-31,6535475000.0
10323,KMR.IR,2019-12-31,-20441000.0
10324,KMR.L,2019-12-31,-20441000.0
10325,KMSUGAR.NS,2019-09-30,1457063159.75
10326,KMT,2019-12-31,3554751666.925
10327,KMT.AX,2019-06-30,3576646.96
10328,KMX,2019-11-30,29356306581.454002
10329,KMY.DE,2019-12-31,47947556341.4
10330,KN,2019-12-31,2016874951.3
10331,KN.PA,2019-12-31,-8790190012.68
10332,KND,2018-03-31,3968821000.0
10333,KNDI,2019-12-31,296250323.5
10334,KNIN.SW,2019-12-31,19044594264.54054
10335,KNL,2019-12-31,1672158280.0
10336,KNM.AX,2019-06-30,21845818.16
10337,KNO.AX,2019-06-30,7863260.983999999
10338,KNOP,2019-12-31,1599539107.306
10339,KNOS.L,2019-09-30,-41311000.0
10340,KNRCON.NS,2019-09-30,40680074379.80835
10341,KNSA,2019-12-31,560231714.0
10342,KNSL,2019-12-31,2175699688.2400002
10343,KNWN,2019-12-31,38780164.0
10344,KNX,2019-12-31,6235194800.000001
10345,KO,2019-12-31,273291691436.0
10346,KOA.OL,2019-12-31,118990206982.6423
10347,KOAN,2019-12-31,2358248.966
10348,KOD,2019-12-31,2631821404.7000003
