,date,symbol,enterpriseValue
0,2020-12-31,AXP,109180553220.0
1,2020-09-30,AXP,94064000000.0
2,2020-06-30,AXP,85407797588.0
3,2020-03-31,AXP,89077270807.0
4,2019-12-31,AXP,141654858372.0
5,2019-09-30,AXP,134606999175.0
0,2020-09-30,BMY,161588532257.0
1,2020-06-30,BMY,159802397737.0
2,2020-03-31,BMY,156749924516.0
3,2019-12-31,BMY,157503423836.0
4,2019-09-30,BMY,77228718368.0
5,2019-06-30,BMY,72113698355.4
0,2020-12-31,V,473139717237.656
1,2020-09-30,V,433917072131.0
2,2020-06-30,V,418626265738.0
3,2020-03-31,V,353754389275.0
4,2019-12-31,V,412766696472.484
5,2019-09-30,V,381688434173.495
0,2020-12-31,USO,3046683290.221806
1,2020-09-30,USO,489635823.504097
2,2020-06-30,USO,1121242405.8199997
3,2020-03-31,USO,-556518246.08
4,2019-12-31,USO,11398487927.08
5,2019-09-30,USO,10105567627.16
0,2020-12-31,GRPN,241683302.30304003
1,2020-09-30,GRPN,233257008.0
2,2020-06-30,GRPN,153601863.45325798
3,2020-03-31,GRPN,257476233.60000002
4,2019-12-31,GRPN,813498339.7674401
5,2019-09-30,GRPN,1152299473.548561
0,2019-03-31,WP,7432300000.0
1,2018-12-31,WP,7708300000.0
2,2018-09-30,WP,7624100000.0
3,2018-06-30,WP,7776500000.0
4,2018-03-31,WP,7881200000.0
5,2017-12-31,WP,5580300000.0
0,2020-09-30,GERN,533639562.76
1,2020-06-30,GERN,515521191.74
2,2020-03-31,GERN,217970289.48
3,2019-12-31,GERN,256244348.40000004
4,2019-09-30,GERN,230783450.51000002
5,2019-06-30,GERN,245334075.61999997
0,2020-12-31,KEY,29261666670.0
1,2020-09-30,KEY,24092901720.0
2,2020-06-30,KEY,26170850460.0
3,2020-03-31,KEY,27505415020.0
4,2019-12-31,KEY,32084628000.0
5,2019-09-30,KEY,32165610960.0
0,2020-12-31,RF,1088200959.999998
1,2020-09-30,RF,11095025000.0
2,2020-06-30,RF,3885200000.0
3,2020-03-31,RF,16584290000.0
4,2019-12-31,RF,22237120000.0
5,2019-09-30,RF,25092160000.0
0,2020-11-07,KR,27081618428.0
1,2020-08-15,KR,38478539214.0
2,2020-05-23,KR,36252559212.0
3,2020-02-01,KR,35299300805.0
4,2019-11-09,KR,34904140000.0
5,2019-08-17,KR,31095300000.0
0,2020-12-31,HAL,23990500000.0
1,2020-09-30,HAL,18340100000.0
2,2020-06-30,HAL,19398460000.0
3,2020-03-31,HAL,14455300000.0
4,2019-12-31,HAL,29532659122.0
5,2019-09-30,HAL,25254600000.0
0,2020-12-31,BABA,435183912928.5
1,2020-09-30,BABA,613326827173.875
2,2020-06-30,BABA,398047712500.0
3,2020-03-31,BABA,196372616000.0
4,2020-02-13,BABA,428251112000.0
5,2019-12-31,BABA,330112225000.0
0,2020-12-31,MRO,9931300000.0
1,2020-09-30,MRO,3112100000.0
2,2020-06-30,MRO,9815800000.0
3,2020-03-31,MRO,7287390000.0
4,2019-12-31,MRO,15452680000.0
5,2019-09-30,MRO,14166270000.0
0,2018-03-31,CLNS,-938193000.0
1,2017-12-31,CLNS,-1392900000.0
2,2017-09-30,CLNS,-1271980000.0
3,2017-06-30,CLNS,-900600000.0
4,2017-03-31,CLNS,-949498000.0
5,2016-12-31,CLNS,-487964000.0
0,2020-12-31,GILD,98521297490.0
1,2020-09-30,GILD,95707448745.0
2,2020-06-30,GILD,113915702510.00002
3,2020-03-31,GILD,108393122524.0
4,2019-12-31,GILD,95226683798.0
5,2019-09-30,GILD,95416461267.0
0,2020-12-31,GM,89902000000.0
1,2020-09-30,GM,132999880000.0
2,2020-06-30,GM,135174598568.0
3,2020-03-31,GM,117771741433.0
4,2019-12-31,GM,136702797134.0
5,2019-09-30,GM,137936440000.0
0,2020-12-31,FCX,6054000000.0
1,2020-09-30,FCX,30351920000.0
2,2020-06-30,FCX,25260210000.0
3,2020-03-31,FCX,18273000000.0
4,2019-12-31,FCX,26856240000.0
5,2019-09-30,FCX,21567640000.0
0,2020-10-31,CRM,210545973644.0
1,2020-07-31,CRM,174765400000.0
2,2020-04-30,CRM,142008200000.0
3,2020-01-31,CRM,161877760000.0
4,2019-10-31,CRM,136510710000.0
5,2019-07-31,CRM,119355000000.0
0,2020-12-31,ATVI,68212048454.0
1,2020-09-30,ATVI,58682397684.0
2,2020-06-30,ATVI,54856901542.0
3,2020-03-31,ATVI,42509120000.0
4,2019-12-31,ATVI,42515558464.0
5,2019-09-30,ATVI,38324638466.0
0,2020-12-31,SQ,98455368707.131
1,2020-09-30,SQ,72359948233.37401
2,2020-06-30,SQ,46439307980.0
3,2020-03-31,SQ,22580688200.0
4,2019-12-31,SQ,26801022160.0
5,2019-09-30,SQ,26777152800.0
0,2018-09-30,P,2420479700.0
1,2018-06-30,P,2004668360.0
2,2018-03-31,P,1035040860.0
3,2017-12-31,P,999669860.0
4,2017-09-30,P,1666952000.0
5,2017-06-30,P,2295150400.0
0,2018-03-31,TWX,94591322342.7
1,2017-12-31,TWX,92500309106.4
2,2017-09-30,TWX,99914707672.59999
3,2017-06-30,TWX,99080630098.8
4,2017-03-31,TWX,97348455226.4
5,2016-12-31,TWX,98170623219.2
0,2020-10-03,NUE,11154710622.932999
1,2020-07-04,NUE,15171726055.866001
2,2020-04-04,NUE,13850811405.864
3,2019-12-31,NUE,19847536496.44
4,2019-09-28,NUE,17901006190.04
5,2019-06-29,NUE,19767149338.990997
0,2020-09-30,SWN,3698900170.55
1,2020-06-30,SWN,3815162731.52
2,2020-03-31,SWN,3187121349.79
3,2019-12-31,SWN,3542432402.34
4,2019-09-30,SWN,3282696724.93
5,2019-06-30,SWN,3813358179.46
0,2020-10-30,LOW,111939304518.0
