,symbol,date,returnOnCapitalEmployed
5,V,2015-09-30,0.2580173254546498
0,USO,2020-12-31,
1,USO,2019-12-31,
2,USO,2018-12-31,
3,USO,2017-12-31,-0.9191757675050559
4,USO,2016-12-31,-0.49324741693917606
5,USO,2015-12-31,
0,GRPN,2020-12-31,-0.6223368795752129
1,GRPN,2019-12-31,-0.01768305113983868
2,GRPN,2018-12-31,0.0015051798040200419
3,GRPN,2017-12-31,0.06644228188659684
4,GRPN,2016-12-31,-0.33897717781028075
5,GRPN,2015-12-31,-0.1827381022676085
0,WP,2018-12-31,0.015263720242324717
1,WP,2017-12-31,0.13197026022304834
2,WP,2016-12-31,0.08674144420302914
3,WP,2015-12-31,0.06612299656076627
4,WP,2014-12-31,0.05047136010422968
0,GERN,2019-12-31,-0.4990571875796294
1,GERN,2018-12-31,-0.15200891224477164
2,GERN,2017-12-31,-0.26894804281433954
3,GERN,2016-12-31,-0.2413547965353816
4,GERN,2015-12-31,0.00032365647383307767
5,GERN,2014-12-31,-0.2728900177489442
0,KEY,2020-12-31,0.009175772657848648
1,KEY,2019-12-31,0.06860516404845113
2,KEY,2018-12-31,0.07511849149248133
3,KEY,2017-12-31,0.06567652268701459
4,KEY,2016-12-31,0.03504199247031567
5,KEY,2015-12-31,0.058379514618765525
0,RF,2020-12-31,0.008755038811340241
1,RF,2019-12-31,0.09158861255940572
2,RF,2018-12-31,0.09484766155637493
3,RF,2017-12-31,0.09051327947365875
4,RF,2016-12-31,0.08288306151787042
5,RF,2015-12-31,0.0767378874510984
0,KR,2020-02-01,0.06387643891271402
1,KR,2019-02-02,0.16683442375440363
2,KR,2018-02-03,0.06452173913043478
3,KR,2017-01-28,0.12323958553605413
4,KR,2016-01-30,0.14785434387842875
5,KR,2015-01-31,0.13830731478097427
0,HAL,2020-12-31,-0.19804416015745127
1,HAL,2019-12-31,-0.05473437728669691
2,HAL,2018-12-31,0.08564683663833805
3,HAL,2017-12-31,0.03372397764921129
4,HAL,2016-12-31,-0.33185359272315795
5,HAL,2015-12-31,-0.029636196688091695
0,BABA,2020-03-31,0.15558115717015852
1,BABA,2019-03-31,0.12704001943472928
2,BABA,2018-03-31,0.17271732660833905
3,BABA,2017-03-31,0.1453342404264952
4,BABA,2016-03-31,0.2607718678279574
5,BABA,2015-03-31,0.14982248959501673
0,MRO,2020-12-31,-0.08749925341933942
1,MRO,2019-12-31,0.02118918918918919
2,MRO,2018-12-31,0.0732207912155575
3,MRO,2017-12-31,-0.022650169626820992
4,MRO,2016-12-31,-0.04280169127330699
5,MRO,2015-12-31,-0.09672356288012557
0,CLNS,2017-12-31,
1,CLNS,2016-12-31,
2,CLNS,2015-12-31,
0,GILD,2020-12-31,0.029275565690229783
1,GILD,2019-12-31,0.09948330377111128
2,GILD,2018-12-31,0.1469568494441304
3,GILD,2017-12-31,0.23068135315782295
4,GILD,2016-12-31,0.35799237824029484
5,GILD,2015-12-31,0.5163297415848193
0,GM,2020-12-31,0.05213029030679271
1,GM,2019-12-31,0.051952044266830616
2,GM,2018-12-31,0.05891717550412813
3,GM,2017-12-31,0.08749041241371172
4,GM,2016-12-31,0.08559142620633071
5,GM,2015-12-31,0.06272043168040048
0,FCX,2020-12-31,0.04640173522348749
1,FCX,2019-12-31,0.008138297872340425
2,FCX,2018-12-31,0.10008486126469
3,FCX,2017-12-31,0.08994545003719316
4,FCX,2016-12-31,-0.10504659324700472
5,FCX,2015-12-31,-0.3317009699550509
0,CRM,2020-01-31,0.017526873712171993
1,CRM,2019-01-31,0.05045683194743866
2,CRM,2018-01-31,0.01857561806291086
3,CRM,2017-01-31,0.0024580281739241586
4,CRM,2016-01-31,0.008985335977534634
5,CRM,2015-01-31,-0.033807566351821125
0,ATVI,2020-12-31,0.1307411664750862
1,ATVI,2019-12-31,0.09645599527466037
2,ATVI,2018-12-31,0.12354373724741657
3,ATVI,2017-12-31,0.07670776407864045
4,ATVI,2016-12-31,0.07474993241416598
5,ATVI,2015-12-31,0.0886867088607595
0,SQ,2020-12-31,0.03760233838709374
1,SQ,2019-12-31,0.13237315346323097
2,SQ,2018-12-31,-0.015967861843762737
3,SQ,2017-12-31,-0.05159896347543689
4,SQ,2016-12-31,-0.26766609139009745
5,SQ,2015-12-31,-0.3140927984016269
0,P,2017-12-31,-0.5523003783877511
1,P,2016-12-31,-0.36876392107816436
2,P,2015-12-31,-0.16971311207284506
3,P,2014-12-31,-0.04969256661056771
0,TWX,2017-12-31,0.10783211202205616
1,TWX,2016-12-31,0.0923342160922809
2,TWX,2015-12-31,0.09751817498119829
3,TWX,2014-12-31,0.086559985200259
4,TWX,2013-12-31,0.08896009125832481
5,TWX,2012-12-31,0.07767421975203079
0,NUE,2019-12-31,0.11226113747263063
1,NUE,2018-12-31,0.2136647786518293
2,NUE,2017-12-31,0.13444150168240387
3,NUE,2016-12-31,0.10119248357742268
4,NUE,2015-12-31,0.05512829700776341
5,NUE,2014-12-31,0.08910811841057258
0,SWN,2019-12-31,0.08178565343329358
